Title,Author,Publisher,Year,Price,Image Filename
Puthiya Kalvi Kolgai-2020/புதிய கல்விக் கொள்கை 2020: வரமா சாபமா?,ஆர்.ரங்கராஜ் பாண்டே,கிழக்கு,2020.0,150.0,puthiya-F.jpg
மாயப் பெரு நதி,ஹரன்பிரசன்னா,தடம் பதிப்பகம்,2020.0,350.0,B-Sirak-Mulaiththathu-wrapper-Final22.jpg
Karuppu - Sivappu - Kaavi/கருப்பு சிவப்பு காவி,ஆர்.ரங்கராஜ் பாண்டே,கிழக்கு பதிப்பகம்,2021.0,180.0,Karuppu-Sivappu-Kaavi.jpg
பெரியார் ஆயிரம் வினா - விடை,கி. வீரமணி,Dialforbooks,,130.0,periyar-aayiram-vinaa-vidai-10018773-550x550.png
திசைதேர் வெள்ளம் (வெண்முரசு நாவல்-19)- மகாபாரதம் நாவல் வடிவில் (செம்பதிப்பு),ஜெயமோகன்,விஷ்ணுபுரம் பதிப்பகம்,2020.0,1700.0,ThisaiTher-Vellam-front-wrapper-scaled.jpg
Venmurasu - Kaarkadal-Classic Edition/கார்கடல் (வெண்முரசு நாவல்-20)- மகாபாரதம் நாவல் வடிவில் (செம்பதிப்பு),ஜெயமோகன்,விஷ்ணுபுரம் பதிப்பகம்,2020.0,1800.0,Kaarkadal_9789351350477-HB-1-scaled.jpg
Venmurasu - Irutkani-Classic Edition/இருட்கனி (வெண்முரசு நாவல்-21)- மகாபாரதம் நாவல் வடிவில் (செம்பதிப்பு),ஜெயமோகன்,விஷ்ணுபுரம் பதிப்பகம்,2021.0,1300.0,9789351350484_-scaled.jpg
Ponniyin Selvan (Abridged Version) / பொன்னியின் செல்வன் (சுருக்கப்பட்ட வடிவம்),கல்கி,கிழக்கு,2022.0,300.0,Ponniyin-Selvan-Abridged-W.jpg
Venmurasu - Theeyin Edai-Classic Edition/தீயின் எடை-(வெண்முரசு நாவல்-22)- மகாபாரதம் நாவல் வடிவில் (செம்பதிப்பு),ஜெயமோகன்,விஷ்ணுபுரம் பதிப்பகம்,2021.0,1100.0,Theeyin-Edai-HB-scaled.jpg
ஆதித்த கரிகாலன் கொலை வழக்கு / Aaditha Karikalan Kolai Vazhakku,சி.சரவணகார்த்திகேயன்,கிழக்கு,2022.0,900.0,Aaditha-Karikalan-Kolai-Vazhakku_9789390958436_KZK-2.jpg
அருளாளர்கள் 1000-மூன்று தொகுதிகள்,கோ. திருமுருகன்,ஜீவ அமிர்தம் பதிப்பகம்,2023.0,3000.0,WhatsAppImage2023-11-23at1.00.42PM.jpg
யூத பயங்கரவாதிகளின் இரகசிய அறிக்கை,செர்கி நிலஸ்,அடையாளம்,2014.0,130.0,1000000023788.jpg
அந்தமானில் இருந்து சாவர்க்கரின் கடிதங்கள்,VV பாலா,தடம் பதிப்பகம்,2022.0,100.0,270417135_4852026624818668_5796932061413505514_n.jpg
கண்டு கொள்ளுவோம் கழகங்களை!,தியாகி ர.ஜெபமணி Ex.MLA,முத்துமாலையம்மன் பதிப்பகம்,2002.0,200.0,1000000023180.jpg
விளக்குகள் பல தந்த ஒளி Vilakkugal Pala Thantha Oli,லில்லியன் எயிஷ்லர் வாட்சன்-தமிழில் பி. உதயகுமார்,கண்ணதாசன்,2011.0,400.0,WhatsAppImage2024-08-09at11.49.42AM.jpg
நெருப்பின்றி சமைப்போம் நோயின்றி வாழ்வோம்,ஆர்.சுகுமார்,காகிதப்பட்டறை,,230.0,nerupinri-samipom.jpg
வாழ்வின் அர்த்தம் - மனிதனின் தேடல்,தமிழில்: ச. சரவணன்,சந்தியா பதிப்பகம்,2009.0,180.0,1000000001751.jpg
கன்னி,,தமிழினி,,440.0,Clipboard01.jpg
செந்நா வேங்கை (வெண்முரசு நாவல்-18)- மகாபாரதம் நாவல் வடிவில் (செம்பதிப்பு),ஜெயமோகன்,விஷ்ணுபுரம் பதிப்பகம்,,1700.0,Senna-Vengai.jpg
India Adimaipaduthapatta Varalaru/இந்தியா அடிமைப்படுத்தப்பட்ட வரலாறு,ராய் மாக்ஸம்,கிழக்கு,2020.0,325.0,India-Adimaipaduthapatta-Varalaru-2.jpg
தமிழர் நாகரிகமும் பண்பாடும்,டாக்டர் A. தட்சிணாமூர்த்தி,ஐந்தினைப் பதிப்பகம்,2019.0,570.0,41QU4D8z4zL.jpg
பன்னிரு படைக்களம் (வெண்முரசு நாவல்-10)- மகாபாரதம் நாவல் வடிவில் (செம்பதிப்பு),ஜெயமோகன்,விஷ்ணுபுரம் பதிப்பகம்,,1800.0,9788184934816.jpg
உருவாகும் உள்ளம்,ஆயிஷா இரா. நடராசன்,பாரதி புத்தகாலயம்,2016.0,150.0,1000000025307.jpg
வீட்டுக்கு வீடு மலர் மருத்துவம்,மரு. கு. பூங்காவனம்,Dialforbooks,,360.0,1000000023595.jpg
கிராதம் (வெண்முரசு நாவல்-12)- மகாபாரதம் நாவல் வடிவில் (செம்பதிப்பு),ஜெயமோகன்,விஷ்ணுபுரம் பதிப்பகம்,,2200.0,9788184938098.jpg
ஒரு கப் கான்ஃபிடன்ஸ்,ரேடியோ மிர்ச்சி ஷா,வானதி பதிப்பகம்,,110.0,oru-cup-confidence_FrontImage_727.jpg
மாமலர்  (வெண்முரசு நாவல்-13)- மகாபாரதம் நாவல் வடிவில் (செம்பதிப்பு),ஜெயமோகன்,விஷ்ணுபுரம் பதிப்பகம்,,1700.0,9788184938128.jpg
நீர்க்கோலம் (வெண்முரசு நாவல்-14)- மகாபாரதம் நாவல் வடிவில் (செம்பதிப்பு),ஜெயமோகன்,விஷ்ணுபுரம் பதிப்பகம்,,2000.0,9788184939095.jpg
அள்ள அள்ளப் பணம் 1,சோம. வள்ளியப்பன்,கிழக்கு பதிப்பகம்,2005.0,250.0,9788183680059.jpg
Ponniyin Selvan Part-1 to 5-English,Translated-வரலோட்டிரெங்கசாமி,கவிதா பப்ளிகேஷன்ஸ்,2016.0,2500.0,1000000025592.jpg
காண்டீபம் (வெண்முரசு நாவல்-8)- மகாபாரதம் நாவல் வடிவில் (செம்பதிப்பு),ஜெயமோகன்,விஷ்ணுபுரம் பதிப்பகம்,,1400.0,71uW7R2OuKL._SL1024.jpg
Alla Alla Panam 6 - Mutual Fund/அள்ள அள்ளப் பணம் 6 மியூச்சுவல் ஃபண்ட்,சோம. வள்ளியப்பன்,கிழக்கு பதிப்பகம்,2020.0,160.0,9789351350392.jpg
ஊழல் - உளவு - அரசியல் அதிகாரவர்க்கத்துடன் ஒரு சாமானியனின் போராட்டம்,சவுக்கு சங்கர்,கிழக்கு,2018.0,250.0,9788184938357.jpg
வெய்யோன் (வெண்முரசு நாவல்-9)- மகாபாரதம் நாவல் வடிவில் (செம்பதிப்பு),ஜெயமோகன்,விஷ்ணுபுரம் பதிப்பகம்,,1900.0,9789384149963.jpg
சொல்வளர்காடு (வெண்முரசு நாவல்-11)- மகாபாரதம் நாவல் வடிவில் (செம்பதிப்பு),ஜெயமோகன்,விஷ்ணுபுரம் பதிப்பகம்,,1900.0,9788184937305.jpg
வரலாற்றில் ஐயம்பேட்டை Varalattril Ayyampettai,என்.செல்வராஜ்,கிழக்கு பதிப்பகம்,2024.0,325.0,WhatsAppImage2024-09-17at2.59.39PM.jpg
உயிராற்றல் வேளாண்மை,நவநீதகிருஷ்ணன்,ஆனந்த நிலையம்,,200.0,613eJHdNr1L._AC_UF1000_1000_QL80.jpg
பணம்சார் உளவியல்   The Psychology of Money,Morgan Housel  தமிழில்  சந்தர் சுப்பிரமணியன்,ஜெய்கோ பப்ளிஷிங் ஹவுஸ்,2021.0,300.0,panamsaar-ulaviyal-10018601-1000x1000h.png
Vada Chennai/வட சென்னை,நிவேதிதா லூயிஸ்,கிழக்கு,2021.0,270.0,9788194932192.jpg
Maalyada,Jeysundhar D,Oxygen Books,2023.0,2000.0,Maalyadaa-wrapper-front-low-res_1.jpg
ஆழி பெரிது: வேதப் பண்பாடு குறித்த உண்மையான தேடல்,அரவிந்தன் நீலகண்டன்,சுவாசம்,2019.0,300.0,azhi-perithu.jpg
